,ID,Name,Result,Class
0,1,n1,15,B
1,2,n2,21,F
2,3,n3,40,C
3,4,n4,86,B
4,5,n5,61,F
5,6,n6,56,A
6,7,n7,39,F
7,8,n8,50,B
8,9,n9,77,B
9,10,n10,51,F
10,11,n11,71,A
11,12,n12,33,C
12,13,n13,15,B
13,14,n14,52,E
14,15,n15,83,G
15,16,n16,70,E
16,17,n17,38,B
17,18,n18,84,B
18,19,n19,59,B
19,20,n20,50,C
20,21,n21,29,A
21,22,n22,45,C
22,23,n23,24,E
23,24,n24,66,E
24,25,n25,36,G
25,26,n26,54,C
26,27,n27,66,D
27,28,n28,13,E
28,29,n29,72,F
29,30,n30,42,D
30,31,n31,48,F
31,32,n32,69,E
32,33,n33,5,E
33,34,n34,12,F
34,35,n35,92,G
35,36,n36,72,D
36,37,n37,36,C
37,38,n38,5,C
38,39,n39,60,D
39,40,n40,57,F
40,41,n41,38,F
41,42,n42,31,G
42,43,n43,30,B
43,44,n44,58,G
44,45,n45,23,D
45,46,n46,98,B
46,47,n47,29,B
47,48,n48,2,F
48,49,n49,87,B
49,50,n50,43,F
50,51,n51,18,B
51,52,n52,19,D
52,53,n53,54,D
53,54,n54,10,G
54,55,n55,37,D
55,56,n56,10,F
56,57,n57,10,F
57,58,n58,13,F
58,59,n59,29,C
59,60,n60,67,E
60,61,n61,40,G
61,62,n62,100,F
62,63,n63,61,C
63,64,n64,98,F
64,65,n65,8,A
65,66,n66,30,A
66,67,n67,57,D
67,68,n68,2,G
68,69,n69,64,C
69,70,n70,92,G
70,71,n71,56,G
71,72,n72,63,G
72,73,n73,54,D
73,74,n74,14,C
74,75,n75,61,F
75,76,n76,94,G
76,77,n77,85,D
77,78,n78,61,C
78,79,n79,35,E
79,80,n80,1,D
80,81,n81,70,E
81,82,n82,62,D
82,83,n83,87,B
83,84,n84,58,B
84,85,n85,95,C
85,86,n86,76,A
86,87,n87,40,F
87,88,n88,81,C
88,89,n89,68,C
89,90,n90,85,D
90,91,n91,76,G
91,92,n92,55,A
92,93,n93,68,E
93,94,n94,15,E
94,95,n95,44,A
95,96,n96,93,B
96,97,n97,10,E
97,98,n98,30,A
98,99,n99,75,C
99,100,n100,4,E
100,101,n101,69,G
101,102,n102,43,B
102,103,n103,25,A
103,104,n104,28,G
104,105,n105,97,A
105,106,n106,70,E
106,107,n107,86,B
107,108,n108,53,C
108,109,n109,64,D
109,110,n110,37,F
110,111,n111,22,D
111,112,n112,24,D
112,113,n113,42,B
113,114,n114,42,G
114,115,n115,28,A
115,116,n116,64,C
116,117,n117,31,G
117,118,n118,54,G
118,119,n119,87,C
119,120,n120,97,G
120,121,n121,19,G
121,122,n122,33,E
122,123,n123,28,G
123,124,n124,15,A
124,125,n125,97,A
125,126,n126,22,B
126,127,n127,52,E
127,128,n128,100,F
128,129,n129,36,G
129,130,n130,40,E
130,131,n131,85,G
131,132,n132,84,F
132,133,n133,18,D
133,134,n134,16,A
134,135,n135,94,G
135,136,n136,19,C
136,137,n137,98,E
137,138,n138,62,E
138,139,n139,8,D
139,140,n140,39,A
140,141,n141,88,D
141,142,n142,87,B
142,143,n143,32,F
143,144,n144,67,F
144,145,n145,79,B
145,146,n146,35,E
146,147,n147,82,B
147,148,n148,50,A
148,149,n149,47,B
149,150,n150,25,F
150,151,n151,23,A
151,152,n152,22,D
152,153,n153,41,F
153,154,n154,69,F
154,155,n155,89,E
155,156,n156,63,D
156,157,n157,56,B
